date,median_R_mean,median_R_highHPD,median_R_lowHPD,replicate,Re,infections,observations,in_CI,above_1,block_size,exp_name
2020-07-02,1.1114919313723721,1.2299896964164914,0.9929941663282529,1,1.1,408,568,TRUE,TRUE,14,14
2020-07-03,1.1441567523384586,1.2588674983388295,1.0294460063380877,1,1.1,443,536,TRUE,TRUE,14,14
2020-07-04,1.1639173156156093,1.2715048454877589,1.0563297857434597,1,1.1,431,460,TRUE,TRUE,14,14
2020-07-05,1.174366846069431,1.2768320361119798,1.0719016560268821,1,1.1,447,174,TRUE,TRUE,14,14
2020-07-06,1.1796264387937379,1.281341401886267,1.0779114757012087,1,1.1,462,220,TRUE,TRUE,14,14
2020-07-07,1.1793555562500078,1.2839437338894892,1.0747673786105263,1,1.1,479,464,TRUE,TRUE,14,14
2020-07-08,1.1753555212295603,1.284870548469314,1.0658404939898067,1,1.1,460,440,TRUE,TRUE,14,14
2020-07-09,1.1698300353587172,1.2828661199678961,1.0567939507495383,1,1.1,506,504,TRUE,TRUE,14,14
2020-07-10,1.1585119122610674,1.2721959497065103,1.0448278748156246,1,1.1,547,438,TRUE,TRUE,14,14
2020-07-11,1.1387026799244642,1.251084701023981,1.0263206588249474,1,1.1095238095238096,541,319,TRUE,TRUE,14,14
2020-07-12,1.1167086265736479,1.2255239629364618,1.007893290210834,1,1.119047619047619,583,251,TRUE,TRUE,14,14
2020-07-13,1.1032313551335,1.2080692642411075,0.9983934460258926,1,1.1285714285714286,568,251,TRUE,TRUE,14,14
2020-07-14,1.1030895062898958,1.2082580602324633,0.9979209523473282,1,1.1380952380952383,579,690,TRUE,TRUE,14,14
2020-07-15,1.1131084812366008,1.2223124354908834,1.0039045269823181,1,1.1476190476190478,586,526,TRUE,TRUE,14,14
2020-07-16,1.1305239454095681,1.244866551442541,1.0161813393765953,1,1.1571428571428573,641,849,TRUE,TRUE,14,14
2020-07-17,1.1505371099431594,1.2696813089601753,1.0313929109261435,1,1.1666666666666667,628,858,TRUE,TRUE,14,14
2020-07-18,1.1671888179592327,1.2876083663783848,1.0467692695400805,1,1.1761904761904762,645,466,TRUE,TRUE,14,14
2020-07-19,1.1769309116722235,1.295286280027746,1.058575543316701,1,1.1857142857142857,705,278,TRUE,TRUE,14,14
2020-07-20,1.1839313511211385,1.3017591753756022,1.0661035268666748,1,1.1952380952380952,720,263,TRUE,TRUE,14,14
